Attack,Stretch,Stretch_sum,Translate,Translate_sum,Voltage
0.5,0.27249999999999996,0.7725,-0.4700000000000001,0.029999999999999916,0.9782000000000001
0.5,0.27,0.77,-0.4733333333333334,0.026666666666666616,0.9784
0.5,0.26749999999999996,0.7675,-0.4766666666666667,0.023333333333333317,0.9786
0.5,0.265,0.765,-0.4800000000000001,0.019999999999999907,0.9788
0.5,0.26249999999999996,0.7625,-0.4833333333333334,0.016666666666666607,0.9790000000000001
0.5,0.26,0.76,-0.4866666666666667,0.013333333333333308,0.9792000000000001
0.5,0.2575,0.7575000000000001,-0.4900000000000001,0.009999999999999898,0.9794
0.5,0.255,0.755,-0.4933333333333334,0.006666666666666599,0.9796
0.5,0.2525,0.7525,-0.4966666666666667,0.0033333333333332993,0.9798
0.5,0.25,0.75,-0.5,0.0,0.9800000000000001
0.5,0.2475,0.7475,-0.5,0.0,0.9802000000000001
0.5,0.245,0.745,-0.5,0.0,0.9804
0.5,0.2425,0.7424999999999999,-0.5,0.0,0.9806
0.5,0.24,0.74,-0.5,0.0,0.9808
0.5,0.2375,0.7375,-0.5,0.0,0.9810000000000001
0.5,0.235,0.735,-0.5,0.0,0.9812000000000001
0.5,0.23249999999999998,0.7324999999999999,-0.5,0.0,0.9814
0.5,0.22999999999999998,0.73,-0.5,0.0,0.9816
0.5,0.22749999999999998,0.7275,-0.5,0.0,0.9818
